api_uses
abacavir: antiretroviral
acamprosate: anti-craving agent
acarbose: anti-diabetic
acetazolamide: diuretic
glacial acetic acid: solvent
aciclovir: antiviral
activated charcoal: antidote
adalimumab: immunosuppressant
adapalene: dermatological agent
adrenaline: bronchodilator
agomelatine: antidepressant
alafenamide: antiretroviral
alendronate: bisphosphonate
allopurinol: antigout
alprazolam: anxiolytic
alprostadil: vasodilator
alteplase: thrombolytic
aluminium hydroxide: antacid
amantadine: antiviral
amiloride: diuretic
amiodarone: antiarrhythmic
amisulpride: antipsychotic
amitriptyline: antidepressant
amlodipine: antihypertensive
amlodipine besylate: antihypertensive
ammonium bicarbonate: leavening agent
amorolfine: antifungal
amoxycillin: antibiotic
amoxicillin: antibiotic
amphotericin: antifungal
amylmetacresol: antiseptic
anastrozole: hormone therapy
antazoline phosphate: antihistamine
apixaban: anticoagulant
apomorphine hemihydrate: dopamine agonist
apraclonidine: antiglaucoma
arachis oil: vehicle
aripiprazole: antipsychotic
aspart protamine: insulin
aspirin: analgesic
atenolol: antihypertensive
atorvastatin: lipid-lowering agent
atorvastatin calcium: lipid-lowering agent
atovaquone: antiprotozoal
atropine: anticholinergic
atropine sulfate: anticholinergic
azathioprine: immunosuppressant
azelastine: antihistamine
azithromycin: antibiotic
baclofen: muscle relaxant
beclomethasone: corticosteroid
beclomethasone dipropionate: corticosteroid
benserazide: dopa decarboxylase inhibitor
benzalkonium chloride: preservative
benzhexol: anticholinergic
benzocaine: topical anesthetic
benzoic acid: preservative
benzonatate: antitussive
benzoncaine: local anesthetic
benzoyl peroxide: dermatological agent (used in acne treatment)
benzydamine: anti-inflammatory
benzyl alcohol: preservative
benzyl benzoate: scabicide
benzylpenicillin: antibiotic
betahistine: histamine antagonist
betamethasone dipropionate: corticosteroid
betamethasone valerate: corticosteroid
bethanechol: cholinergic
bictegravir: antiretroviral
bifonazole: antifungal
bimatoprost: prostaglandin analog
biperiden: anticholinergic
bisacodyl: laxative
bisoprolol fumarate: antihypertensive
brimonidine: antiglaucoma
bromazepam: anxiolytic
bromhexine: mucolytic
bromocriptine: dopamine agonist
budesonide: corticosteroid
bumetanide: diuretic
buprenorphine: analgesic
bupropion: antidepressant
butylated hydroxyanisole: antioxidant
cabergoline: dopamine agonist
caffeine: stimulant
calcitriol: vitamin D analog
calcium: mineral supplement
calcium carbonate: antacid
calcium chloride: electrolyte
camphor: topical analgesic
candesartan: antihypertensive
capecitabine: chemotherapy
captopril: antihypertensive
carbamazepine: anticonvulsant
carbamide peroxide: earwax softener
carbidopa: dopa decarboxylase inhibitor
carbimazole: antithyroid
carbomer: gelling agent
carmellose: lubricant
cefaclor: antibiotic
cefepime: antibiotic
ceftazidime: antibiotic
ceftriaxone: antibiotic
cefuroxime: antibiotic
celecoxib: nonsteroidal anti-inflammatory drug
cephalexin: antibiotic
cetalkonium chloride: preservative
cetirizine: antihistamine
cetrimide: antiseptic
cetylpyridium chloride: antiseptic
chloramphenicol: antibiotic
chlorbutol: preservative
chlorhexidine: antiseptic
chlorhexidine gluconate: antiseptic
chlorpromazine: antipsychotic
cholestyramine: lipid-lowering agent
choline salicylate: analgesic
ciclesonide: corticosteroid
ciclosporin: immunosuppressant
cinacalcet: calcium sensitizer
cinchocaine: local anesthetic
ciprofloxacin: antibiotic
citalopram: antidepressant
citric acid anhydrous: acidulant
clarithromycin: antibiotic
clavulanic acid: beta-lactamase inhibitor
clindamycin: antibiotic
clioquinol: antifungal
clobazam: anticonvulsant
clobetasone butyrate: corticosteroid
clomiphene: fertility agent
clomipramine: antidepressant
clonazepam: anticonvulsant
clonidine: antihypertensive
clopidogrel: antiplatelet
clotrimazole: antifungal
clove bud oil: flavoring agent
coal tar: antipsoriatic
cobicistat: pharmacokinetic enhancer
colchicine: anti-gout
colecalciferol: vitamin D
crotamiton: scabicide
cyclizine: antiemetic
cyclizine lactate: antiemetic
cyclosporin: immunosuppressant
cyproheptadine: antihistamine
cyproterone: antiandrogen
dabigatran: anticoagulant
danaparoid: anticoagulant
desloratadine: antihistamine
desmopressin: antidiuretic
desogestrel: contraceptive
desvenlafaxine: antidepressant
dexamethasone: corticosteroid
dexamphetamine sulphate: central nervous system stimulant
dexchlorpheniramine maleate: antihistamine
dexpanthenol: vitamin B5
dextran: plasma expander
dextran 70: plasma expander
dextromethorphan hydrobromide: antitussive
dextropropoxyphene: analgesic
diazepam: anxiolytic
dichlorobenzyl alcohol: antiseptic
diclofenac: nonsteroidal anti-inflammatory drug
dicloxacillin: antibiotic
digoxin: cardiac glycoside
dihydroergotamine: antimigraine
diltiazem: calcium channel blocker
diphenoxylate: antidiarrheal
dipyridamole: antiplatelet
disodium etidronate: bisphosphonate
disopyramide: antiarrhythmic
docusate: laxative
dolutegravir: antiretroviral
domperidone: prokinetic
donepezil: cholinesterase inhibitor
dorzolamide: antiglaucoma
dothiepin: antidepressant
doxepin: antidepressant
doxycycline: antibiotic
doxylamine succinate: antihistamine
dulaglutide: antidiabetic
dydrogesterone: progestin
econazole: antifungal
econazole nitrate: antifungal
efavirenz: antiretroviral
eformoterol: bronchodilator
formoterol: bronchodilator
elvitegravir: antiretroviral
emtricitabine: antiretroviral
enalapril: antihypertensive
enoxaparin: anticoagulant
entacapone: COMT inhibitor
eplerenone: aldosterone antagonist
eprosartan: antihypertensive
erythromycin: antibiotic
erythromycin ethylsuccinate: antibiotic
escitalopram: antidepressant
esomeprazole: proton pump inhibitor
estradiol: hormone replacement
etanercept: immunosuppressant
ethanol: solvent
ethinyloestradiol: contraceptive
ethinyloestriol: hormone replacement
etonogestrel: contraceptive
eucalyptus oil: flavoring agent
exenatide: antidiabetic
ezetimibe: lipid-lowering agent
famciclovir: antiviral
famotidine: antacid
felodipine: calcium channel blocker
fenofibrate: lipid-lowering agent
fentanyl: analgesic
ferrous fumarate: iron supplement
ferrous sulfate: iron supplement
ferrous sulphate: iron supplement
fesoterodine: antimuscarinic
fexofenadine: antihistamine
finasteride: 5-alpha reductase inhibitor
flecainide acetate: antiarrhythmic
flucloxacillin: antibiotic
fluconazole: antifungal
fludrocortisone: mineralocorticoid
flumethasone: corticosteroid
flunitrazepam: sedative
fluorometholone: corticosteroid
fluorometholone acetate: corticosteroid
fluorouracil: antineoplastic
fluoxetine: antidepressant
fluticasone: corticosteroid
fluticasone furoate: corticosteroid
fluticasone propionate: corticosteroid
fluvastatin: lipid-lowering agent
fluvoxamine: antidepressant
folic acid: vitamin
fosinopril: antihypertensive
framycetin: antibiotic
frusemide: diuretic
frusemide = furosemide: diuretic
furosemide: diuretic
fusidic acid: antibiotic
gabapentin: anticonvulsant
galantamine: acetylcholinesterase inhibitor
gemfibrozil: lipid-lowering agent
gestodene: contraceptive
glibenclamide: antidiabetic
gliclazide: antidiabetic
glimepiride: antidiabetic
glipizide: antidiabetic
glycerin: moisturizer
glycerol: moisturizer
glyceryl trin: nitrate
glyceryl trinitrate: nitrate
glycopyrronium: antimuscarinic
goserelin: gonadotropin-releasing hormone agonist
gramicidin: antibiotic
guaiphenesin: expectorant
haloperidol: antipsychotic
homatropine: anticholinergic
hydralazine: antihypertensive
hydrochlorothiazide: diuretic
hydrocortisone: corticosteroid
hydromorphone: analgesic
hydroxocobalamin: vitamin B12 supplement
hydroxychloroquine: antimalarial/immunosuppressant
hyoscine butylbromide: antispasmodic
hyoscine hydrobromide: anticholinergic
hyoscyamine sulfate: anticholinergic
hypromellose: lubricant
ibuprofen: analgesic/anti-inflammatory
idoxuridine: antiviral
imipramine: antidepressant
imiquimod: immunomodulator
indapamide: diuretic
indometacin: nonsteroidal anti-inflammatory
